"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 31 01:53:07 GMT 2025","Fri Oct 31 01:53:07 GMT 2025","742","","ui.tests.NavigationTests","","ui.tests.NavigationTests","previousButtonTest","previousButtonTest()",""
"passed","Fri Oct 31 01:46:26 GMT 2025","Fri Oct 31 01:46:27 GMT 2025","1089","","api.UserApiTests","","api.UserApiTests","getUserByNameTest","getUserByNameTest()",""
"passed","Fri Oct 31 01:47:06 GMT 2025","Fri Oct 31 01:47:06 GMT 2025","642","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [3] Dropdown menu, dropdown-menu.html, Dropdown menu, class ui.pageObjects.DropdownMenuPage",""
"passed","Fri Oct 31 01:46:34 GMT 2025","Fri Oct 31 01:46:34 GMT 2025","589","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","pickersTest","pickersTest()",""
"passed","Fri Oct 31 01:47:06 GMT 2025","Fri Oct 31 01:47:07 GMT 2025","974","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [4] Mouse over, mouse-over.html, Mouse over, class ui.pageObjects.MouseOverPage",""
"passed","Fri Oct 31 01:53:04 GMT 2025","Fri Oct 31 01:53:05 GMT 2025","853","","ui.tests.LoginFormTests","","ui.tests.LoginFormTests","invalidCredentialsTest","invalidCredentialsTest(String, String) [3] username, password",""
"passed","Fri Oct 31 01:46:35 GMT 2025","Fri Oct 31 01:46:36 GMT 2025","757","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","shadowDomTest","shadowDomTest()",""
"passed","Fri Oct 31 01:47:22 GMT 2025","Fri Oct 31 01:47:23 GMT 2025","665","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [26] Data types, data-types.html, Data types, class ui.pageObjects.DataTypesPage",""
"failed","Fri Oct 31 01:46:24 GMT 2025","Fri Oct 31 01:46:26 GMT 2025","1391","","api.UserApiTests","","api.UserApiTests","updateUserTest","updateUserTest()",""
"passed","Fri Oct 31 01:46:54 GMT 2025","Fri Oct 31 01:46:55 GMT 2025","741","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","cancelLaunchConfirmDialogBoxTest","cancelLaunchConfirmDialogBoxTest()",""
"passed","Fri Oct 31 01:46:36 GMT 2025","Fri Oct 31 01:46:47 GMT 2025","10744","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","infiniteScrollTest","infiniteScrollTest()",""
"passed","Fri Oct 31 01:53:15 GMT 2025","Fri Oct 31 01:53:16 GMT 2025","1075","","ui.tests.WebFormTests","","ui.tests.WebFormTests","textareaInputTest","textareaInputTest()",""
"passed","Fri Oct 31 01:47:02 GMT 2025","Fri Oct 31 01:47:04 GMT 2025","2214","","ui.tests.HeaderTests","","ui.tests.HeaderTests","logoTest","logoTest()",""
"skipped","Fri Oct 31 01:46:50 GMT 2025","Fri Oct 31 01:46:50 GMT 2025","1","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","storageTest","storageTest()",""
"passed","Fri Oct 31 01:47:10 GMT 2025","Fri Oct 31 01:47:11 GMT 2025","675","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [9] Long page, long-page.html, This is a long page, class ui.pageObjects.LongPagePage",""
"passed","Fri Oct 31 01:46:31 GMT 2025","Fri Oct 31 01:46:33 GMT 2025","1682","","ui.TrainingLocatorsTests","","ui.TrainingLocatorsTests","logoTest","logoTest()",""
"passed","Fri Oct 31 01:47:18 GMT 2025","Fri Oct 31 01:47:19 GMT 2025","684","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [20] Console logs, console-logs.html, Console logs, class ui.pageObjects.ConsoleLogsPage",""
"passed","Fri Oct 31 01:46:51 GMT 2025","Fri Oct 31 01:46:51 GMT 2025","757","","ui.tests.BrowserAgnosticFeaturesTests","","ui.tests.BrowserAgnosticFeaturesTests","acceptLaunchConfirmDialogBoxTest","acceptLaunchConfirmDialogBoxTest()",""
"passed","Fri Oct 31 01:53:12 GMT 2025","Fri Oct 31 01:53:13 GMT 2025","699","","ui.tests.WebFormTests","","ui.tests.WebFormTests","dropdownDatalistTest","dropdownDatalistTest()",""
"passed","Fri Oct 31 01:47:21 GMT 2025","Fri Oct 31 01:47:22 GMT 2025","691","","ui.tests.HomePageTests","","ui.tests.HomePageTests","linksTest","linksTest(String, String, String, Class) [25] A/B Testing, ab-testing.html, A/B Testing, class ui.pageObjects.ABTestingPage",""
